COMUNE;TITOLARE;DITTA;INDIRIZZO;N. CIVICO;ZONA;AREA QSV;SUP.ALIM.;SUP.NON ALIM.;SUP.TOTALE DI VENDITA;QUOTIDIANI E PERIODICI;MERCEOLOGIA (MGSV);IN AFFITTO (MGSV);CENTRO COMMERCIALE;POLO COMMERCIALE;CODICE ATECO
ACQUASPARTA;ADESSI ANTONIETTA;1-Individuale;VIA MARCONI;13;2-resto del capoluogo;10.0;0.0;10.0;;;;;;;
ACQUASPARTA;AMBROGI NOEMI;1-Individuale;VIA MATTEOTTI;1/B;2-resto del capoluogo;0.0;140.0;140.0;;;;;;;
ACQUASPARTA;AMMIRATI FRANCESCO;1-Individuale;VIA ROMA;SN;1-centro storico;0.0;10.0;10.0;1.0;;;;;;
ACQUASPARTA;AMMIRATI SABRINA;1-Individuale;VIA MARCONI;9;2-resto del capoluogo;0.0;60.0;60.0;;;;;;;
ACQUASPARTA;ANDREANI DANIELA;1-Individuale;VIA STELLUTI;12;1-centro storico;5.0;0.0;5.0;;;;;;;
ACQUASPARTA;AQUILANI GIULIO;1-Individuale;VIA MAZZINI;32/C;2-resto del capoluogo;0.0;50.0;50.0;;;;;;;
ACQUASPARTA;ARREDI FIORELLI S.N.C.;2-s.n.c.;LOC. CAPANNE ZONA INDUSTRIALE;1/A;3-resto del territorio;0.0;130.0;130.0;;;;;;;
ACQUASPARTA;ATANASI GIULIANA;1-Individuale;LOC. CAPANNE ZONA INDUSTRIALE;SN;3-resto del territorio;0.0;21.0;21.0;;;;;;;
ACQUASPARTA;AUTO SAVERI DI SAVERI BRUNO E C. S.N.C.;2-s.n.c.;VIA MARCONI;25;2-resto del capoluogo;0.0;100.0;100.0;;;;;;;
ACQUASPARTA;AUTOGRILL S.P.A.;5-s.p.a.;S.S. E45;KM 13+250;3-resto del territorio;0.0;40.0;40.0;1.0;;;;;;
ACQUASPARTA;B & M. DI BAIOCCO PINA E C. S.N.C.;2-s.n.c.;PIAZZA F. CESI;16;1-centro storico;0.0;40.0;40.0;;;;;;;
ACQUASPARTA;BADINELLI GABRIELLA;1-Individuale;CORSO UMBERTO I;35;1-centro storico;0.0;80.0;80.0;;;;;;;
ACQUASPARTA;BARCAROLI PIERINA;1-Individuale;FRAZIONE MACERINO;1;3-resto del territorio;13.0;10.0;23.0;;;;;;;
ACQUASPARTA;BARCHERINI EMILIO;1-Individuale;VIA MAZZINI;16/A;2-resto del capoluogo;0.0;106.0;106.0;;;;;;;
ACQUASPARTA;BASSETTI GIUSEPPE;1-Individuale;VIA CESARE BATTISTI;2;2-resto del capoluogo;0.0;145.0;145.0;;;;;;;
ACQUASPARTA;BASSETTI MICHELE;1-Individuale;CORSO UMBERTO I;25;1-centro storico;0.0;50.0;50.0;;;;;;;
ACQUASPARTA;BOCCALI MARCELLO;1-Individuale;ZONA INDUSTRIALE LOC. CAPANNE;8/I;3-resto del territorio;0.0;100.0;100.0;;;;;;;
ACQUASPARTA;BOOST OUTLET SRL;4-s.r.l.;VIA TIBERINA;27/B;2-resto del capoluogo;0.0;121.0;121.0;;;;;;;
ACQUASPARTA;BOOST SUPERMERCATI S.R.L.;4-s.r.l.;VIA TIBERINA;SN;2-resto del capoluogo;400.0;200.0;600.0;01-Alimentare;1.0;;;;;
ACQUASPARTA;BRUNO S.R.L.;4-s.r.l.;VIA CESARE BATTISTI;12;2-resto del capoluogo;0.0;110.0;110.0;;;;;;;
ACQUASPARTA;C. & C. SAS DI COLANTONI RAFFAELA & C.;3-s.a.s.;VIA MATTEOTTI;1/C;2-resto del capoluogo;433.0;41.0;474.0;01-Alimentare;;;;;;
ACQUASPARTA;C.A. CENTRO ARREDAMENTI DI CENCI WALTER S.A.S.;3-s.a.s.;VIA CAMPAGNA;180;2-resto del capoluogo;0.0;128.0;128.0;;;;;;;
ACQUASPARTA;CARDINALI FRANCA;1-Individuale;VIA MARCONI;40;2-resto del capoluogo;0.0;180.0;180.0;;;;;;;
ACQUASPARTA;CASCIOTTA STEFANO;1-Individuale;VIA QUAGLIA;5;2-resto del capoluogo;0.0;15.0;15.0;;;;;;;
ACQUASPARTA;CATENA GIULIANA;1-Individuale;CORSO UMBERTO I;12;1-centro storico;0.0;17.0;17.0;;;;;;;
ACQUASPARTA;CECCHETTI LIDIA;1-Individuale;VIA TIBERINA;46;2-resto del capoluogo;0.0;99.0;99.0;;;;;;;
ACQUASPARTA;CECCHINI NAZZARENO;1-Individuale;VIA TIBERINA;SN;2-resto del capoluogo;0.0;172.0;172.0;;;;;;;
ACQUASPARTA;CEGNA VALENTINA;1-Individuale;VIA CESARE BATTISTI;6;2-resto del capoluogo;0.0;2.0;2.0;;;;;;;
ACQUASPARTA;CORVI ELEONORA;1-Individuale;CORSO LINCEI;23;1-centro storico;0.0;80.0;80.0;1.0;;;;;;
ACQUASPARTA;CRICCO MARIO;1-Individuale;VIA COLONNA;79;1-centro storico;10.0;0.0;10.0;;;;;;;
ACQUASPARTA;CRYAL BIMBI S.N.C. DI LUCHETTI CRISTINA E ALESSIA;2-s.n.c.;VIA MAZZINI;16;2-resto del capoluogo;0.0;29.0;29.0;;;;;;;
ACQUASPARTA;DESIDERI FABIO;1-Individuale;VIA MARCONI;3;2-resto del capoluogo;0.0;19.0;19.0;;;;;;;
ACQUASPARTA;DI POMPEO GIANNI;1-Individuale;VIA TIBERINA;49;2-resto del capoluogo;0.0;8.0;8.0;;;;;;;
ACQUASPARTA;DOMINICI MANGIMI S.R.L.;4-s.r.l.;PORTARIA CAMPAGNA;SN;3-resto del territorio;0.0;80.0;80.0;;;;;;;
ACQUASPARTA;E.S.A. FASHION S.N.C. DI SARACA VOLPINI ELISABETTA & C.;2-s.n.c.;VIA ROMA;5;2-resto del capoluogo;0.0;120.0;120.0;;;;;;;
ACQUASPARTA;EDILCASA LANDI S.R.L.;4-s.r.l.;LOC. CAPANNE ZONA INDUSTRIALE;SN;3-resto del territorio;0.0;150.0;150.0;;;;;;;
ACQUASPARTA;F.LLI BRIZZI S.N.C.;2-s.n.c.;LOC. CAPANNE ZONA INDUSTRIALE;SN;3-resto del territorio;0.0;30.0;30.0;;;;;;;
ACQUASPARTA;FARMACIA BRUTTI DOTT. FORTUNATO S.N.C.;2-s.n.c.;VIA ROMA;5/L;2-resto del capoluogo;0.0;63.0;63.0;;;;;;;
ACQUASPARTA;FINISTAURI MARCELLO;1-Individuale;VIA MAZZINI;1/A;2-resto del capoluogo;0.0;150.0;150.0;;;;;;;
ACQUASPARTA;FORTUNATI GROUP S.R.L.;4-s.r.l.;FRAZIONE CASIGLIANO ZONA INDUSTRIALE;8/D;3-resto del territorio;0.0;180.0;180.0;;;;;;;
ACQUASPARTA;FORTUNATI STEFANIA;1-Individuale;VIA TIBERINA;10;2-resto del capoluogo;0.0;100.0;100.0;;;;;;;
ACQUASPARTA;G.P.M. SNC DI LATTANZI GIANFRANCO E C.;2-s.n.c.;S.S. E45;KM 13+250;3-resto del territorio;0.0;25.0;25.0;1.0;;;;;;
ACQUASPARTA;GARAU DANIELE;1-Individuale;VIA MAZZINI;48;2-resto del capoluogo;0.0;60.0;60.0;;;;;;;
ACQUASPARTA;GIGLI GIANFRANCO E FIGLI S.N.C.;2-s.n.c.;VIA MAZZINI;26/B;2-resto del capoluogo;0.0;50.0;50.0;;;;;;;
ACQUASPARTA;GIOMMI ALVARO & C. S.N.C.;2-s.n.c.;VIA ROMA;3;2-resto del capoluogo;512.0;50.0;562.0;01-Alimentare;1.0;;;;;
ACQUASPARTA;GRASSELLI FRANCESCA;1-Individuale;VIA CESARE BATTISTI;8;2-resto del capoluogo;0.0;38.0;38.0;;;;;;;
ACQUASPARTA;GUBBIOTTI VANDA;1-Individuale;VIA ROMA;13;2-resto del capoluogo;0.0;98.0;98.0;;;;;;;
ACQUASPARTA;KRONOS S.R.L.;4-s.r.l.;VIA MATTEOTTI;3/C;2-resto del capoluogo;0.0;30.0;30.0;;;;;;;
ACQUASPARTA;LAURA B. & C. S.N.C.;2-s.n.c.;VIA ROMA;13;2-resto del capoluogo;0.0;78.0;78.0;;;;;;;
ACQUASPARTA;LAURETI ELISA;1-Individuale;VIA MARCONI;40;2-resto del capoluogo;0.0;85.0;85.0;;;;;;;
ACQUASPARTA;LITI IVAN;1-Individuale;VIA MAZZINI;17/D;2-resto del capoluogo;0.0;30.0;30.0;;;;;;;
ACQUASPARTA;L'OASI DELLA PASTA S.N.C.;2-s.n.c.;VIA ROMA;11;2-resto del capoluogo;10.0;0.0;10.0;;;;;;;
ACQUASPARTA;M. & A. S.A.S. DI RANIERI ANNALISA;3-s.a.s.;VIA CESARE BATTISTI;6;2-resto del capoluogo;0.0;64.0;64.0;1.0;;;;;;
ACQUASPARTA;MA.LU. SNC DI LEORSINI MARCELLO E C. S.N.C;2-s.n.c.;S.S. E45;KM 13+911;3-resto del territorio;0.0;70.0;70.0;1.0;;;;;;
ACQUASPARTA;MACCAGLIA MONIA;1-Individuale;VIA MAZZINI;16;2-resto del capoluogo;0.0;105.0;105.0;;;;;;;
ACQUASPARTA;MANETTI ILARIA;1-Individuale;VIA MAZZINI;1;2-resto del capoluogo;63.0;0.0;63.0;;;;;;;
ACQUASPARTA;MASSARELLI LIBERO POMPEO;1-Individuale;CORSO LINCEI;5;1-centro storico;0.0;50.0;50.0;;;;;;;
ACQUASPARTA;MASSARO MASSIMO;1-Individuale;VIA TIBERINA;SN;2-resto del capoluogo;0.0;21.0;21.0;;;;;;;
ACQUASPARTA;MATTEI ELENA;1-Individuale;VIA MATTEOTTI;3/A;2-resto del capoluogo;0.0;65.0;65.0;;;;;;;
ACQUASPARTA;MATTIOLI SANDRO;1-Individuale;VIA MARCONI;41;2-resto del capoluogo;0.0;65.0;65.0;;;;;;;
ACQUASPARTA;MATTIOLI SANDRO;1-Individuale;VIA TIBERINA;56;2-resto del capoluogo;0.0;30.0;30.0;;;;;;;
ACQUASPARTA;MATTIOLI STEFANIA;1-Individuale;CORSO UMBERTO I;5;1-centro storico;0.0;25.0;25.0;;;;;;;
ACQUASPARTA;MATTIOLI STEFANO;1-Individuale;VIA TIBERINA;91;2-resto del capoluogo;0.0;120.0;120.0;;;;;;;
ACQUASPARTA;MAURIZI DANILO;1-Individuale;S.S. E45 LOC. SELVARELLE;SN;3-resto del territorio;0.0;15.0;15.0;;;;;;;
ACQUASPARTA;MAURIZI FABIO;1-Individuale;S.S. E45 CASIGLIANO;SN;3-resto del territorio;0.0;15.0;15.0;;;;;;;
ACQUASPARTA;MELONI CATIA;1-Individuale;VIA TIBERINA;54;2-resto del capoluogo;0.0;30.0;30.0;;;;;;;
ACQUASPARTA;NULLI MIGLIOLA LUCIANO;1-Individuale;VIA TIBERINA;7;3-resto del territorio;0.0;125.0;125.0;;;;;;;
ACQUASPARTA;OLIMPIERI S.R.L.;4-s.r.l.;VIA TIBERINA;10/B;2-resto del capoluogo;0.0;15.0;15.0;;;;;;;
ACQUASPARTA;PALMADORI MASSIMO;1-Individuale;PORTARIA CAMPAGNA;53/B;3-resto del territorio;50.0;50.0;100.0;;;;;;;
ACQUASPARTA;PALOTTI LEONELLO;1-Individuale;LOC. CAPANNE ZONA INDUSTRIALE;SN;3-resto del territorio;0.0;20.0;20.0;;;;;;;
ACQUASPARTA;PANIFICIO DEIDDA MATTEO & C. S.N.C.;2-s.n.c.;VIA MATTEOTTI;6;2-resto del capoluogo;5.0;0.0;5.0;;;;;;;
ACQUASPARTA;PERSICHETTI MARIO;1-Individuale;VIA TIBERINA;47;2-resto del capoluogo;0.0;58.0;58.0;;;;;;;
ACQUASPARTA;PICCOLE CANAGLIE DI ROSATI CLARA & C. SNC;2-s.n.c.;CORSO LINCEI;15;1-centro storico;0.0;80.0;80.0;;;;;;;
ACQUASPARTA;PIERMAS S.N.C. DI CAROLI PIERINO E C.;2-s.n.c.;VIA MAZZINI;19/A;2-resto del capoluogo;0.0;18.0;18.0;;;;;;;
ACQUASPARTA;POLIMADEI PAOLA;1-Individuale;VIA ROMA;1;2-resto del capoluogo;0.0;93.0;93.0;;;;;;;
ACQUASPARTA;POMPEI LUIGI;1-Individuale;VIA MARCONI;12;2-resto del capoluogo;0.0;27.0;27.0;;;;;;;
ACQUASPARTA;PROIETTI GIANNI;1-Individuale;VIA MAZZINI;46;2-resto del capoluogo;0.0;65.0;65.0;;;;;;;
ACQUASPARTA;PROIETTI MARENGO SABRINA;1-Individuale;VIA ROMA;35/37;2-resto del capoluogo;0.0;60.0;60.0;;;;;;;
ACQUASPARTA;PTSHOP S.P.A.;5-s.p.a.;VIA CESARE BATTISTI;2;2-resto del capoluogo;0.0;20.0;20.0;;;;;;;
ACQUASPARTA;ROCCHI SIMONE;1-Individuale;VIA MARCONI;7;2-resto del capoluogo;0.0;35.0;35.0;;;;;;;
ACQUASPARTA;SAVERI BRUNO;1-Individuale;VIA MARCONI;25;2-resto del capoluogo;0.0;70.0;70.0;;;;;;;
ACQUASPARTA;SCIMMI CARLO;1-Individuale;VIA ROMA;1/A;2-resto del capoluogo;10.0;0.0;10.0;;;;;;;
ACQUASPARTA;SEM S.R.L.;4-s.r.l.;VIA MATTEOTTI;26/30/32;2-resto del capoluogo;40.0;0.0;40.0;;;;;;;
ACQUASPARTA;SERRANELLI ABBIGLIAMENTO S.A.S.;3-s.a.s.;VIA MAZZINI;6;2-resto del capoluogo;0.0;143.0;143.0;;;;;;;
ACQUASPARTA;SIRIANNI GIUSEPPINA;1-Individuale;VIA MARCONI;SN;2-resto del capoluogo;0.0;70.0;70.0;;;;;;;
ACQUASPARTA;SUPERCONTI SUPERMERCATI TERNI S.R.L.;4-s.r.l.;VIA MARCONI;40;2-resto del capoluogo;288.0;110.0;398.0;01-Alimentare;;;;;;
ACQUASPARTA;TADDEI ULISSE;1-Individuale;CORSO LINCEI;9;1-centro storico;30.0;0.0;30.0;;;;;;;
ACQUASPARTA;TADDEI ULISSE;1-Individuale;VIA G. GALILEI;5;1-centro storico;30.0;0.0;30.0;;;;;;;
ACQUASPARTA;TALENTI S.R.L.;4-s.r.l.;LOC. CAPANNE ZONA INDUSTRIALE;SN;3-resto del territorio;0.0;140.0;140.0;;;;;;;
ACQUASPARTA;VENTOTTO SARA;1-Individuale;VIA MARCONI;40;2-resto del capoluogo;0.0;236.0;236.0;;;;;;;
ACQUASPARTA;VITALI SILVANA;1-Individuale;VIA STELLUTI;6;1-centro storico;0.0;35.0;35.0;;;;;;;
ACQUASPARTA;ZHENG YANGJUAN;1-Individuale;VIA MAZZINI;SN;2-resto del capoluogo;0.0;150.0;150.0;;;;;;;
ALLERONA;ALBANI FELICE;1-Individuale;VOCABOLO MADONNA DEL POGGIO;111/A/B;1-centro storico;0.0;37.0;37.0;1.0;;;;;;
ALLERONA;ARMANDO E DINA SNC DI DI GENNARO ALESSIO E TIZIANA & C.;2-s.n.c.;VIA DI ORVIETO;36;3-resto del territorio;0.0;347.0;347.0;02-Abbigliamento;;;;;;
ALLERONA;AUTOGARDEN DI MECHELLI UMBERTO E LUCIANI DANILO S.N.C.;2-s.n.c.;LARGO MICHELANGELO BUONARROTI;18;3-resto del territorio;0.0;116.0;116.0;;;;;;;
ALLERONA;BASILI MARIO & C. S.N.C.;2-s.n.c.;VIA DI ORVIETO;14;3-resto del territorio;28.0;0.0;28.0;;;;;;;
ALLERONA;BASILI MARIO & C. S.N.C.;2-s.n.c.;VIA GIUSEPPE GARIBALDI;5;3-resto del territorio;10.0;0.0;10.0;;;;;;;
ALLERONA;BELLEZZA MANUELA;1-Individuale;VIA DI ORVIETO;24;3-resto del territorio;0.0;44.0;44.0;1.0;;;;;;
ALLERONA;BERNARDINI GIULIANO;1-Individuale;VIA ALDO MORO;15;1-centro storico;16.0;0.0;16.0;;;;;;;
ALLERONA;CIRIGLIANO MARIA DOMENICA;1-Individuale;VIA DELLA LIBERTA';14-16;3-resto del territorio;0.0;5.0;5.0;;;;;;;
ALLERONA;COCHI MASSIMO;1-Individuale;VIA DI ORVIETO;56;3-resto del territorio;70.0;3.0;73.0;;;;;;;
ALLERONA;CUPELLO ANDREA;1-Individuale;VIA DELLA LIBERTA';16;3-resto del territorio;0.0;10.0;10.0;;;;;;;
ALLERONA;CUPELLO ANDREA;1-Individuale;VIA DELLA LIBERTA';16;3-resto del territorio;0.0;40.0;40.0;;;;;;;
ALLERONA;ETRURIA LATERIZI S.R.L.;4-s.r.l.;VIA DELLO SCALO MERCI;36;3-resto del territorio;0.0;247.0;247.0;;;;;;;
ALLERONA;FARMACIA BONADUCE  S.N.C.;2-s.n.c.;PIAZZA ATTILIO LUPI;4;1-centro storico;0.0;32.0;32.0;;;;;;;
ALLERONA;FARMACIA BONADUCE S.N.C.;2-s.n.c.;LARGO MICHELANGELO BUONARROTI;8;3-resto del territorio;0.0;30.0;30.0;;;;;;;
ALLERONA;FERRETTI CARNI S.A.S.;3-s.a.s.;VIA CENTRALE;95;1-centro storico;23.0;0.0;23.0;;;;;;;
ALLERONA;FRATONI ENRICA;1-Individuale;VIA DI ORVIETO;21;3-resto del territorio;0.0;36.0;36.0;;;;;;;
ALLERONA;GRAZIANI STEFANO;1-Individuale;VIA DI ORVIETO;50;3-resto del territorio;10.0;0.0;10.0;;;;;;;
ALLERONA;MANCINO MAURIZIO;1-Individuale;VIA DI ORVIETO;3;3-resto del territorio;0.0;3.0;3.0;;;;;;;
ALLERONA;MARCHI LUCIANO;1-Individuale;VIA DI ORVIETO;2;3-resto del territorio;0.0;20.0;20.0;;;;;;;
ALLERONA;MAZZEI MARIA GRAZIA;1-Individuale;VIALE GIOSUE' CARDUCCI;12;3-resto del territorio;0.0;66.0;66.0;;;;;;;
ALLERONA;MINI MARKET ALLERONA DI TARMATI LAURA E MASCELLONI EMANUELA S.N.C.;2-s.n.c.;PIAZZA ATTILIO LUPI;12;1-centro storico;106.0;0.0;106.0;;;;;;;
ALLERONA;PONTREMOLI GIANFRANCO;1-Individuale;VIA DELLO SCALO MERCI;7;3-resto del territorio;0.0;15.0;15.0;;;;;;;
ALLERONA;ROSATI MARIA GRAZIELLA;1-Individuale;VIA DI ORVIETO;20;3-resto del territorio;0.0;59.0;59.0;;;;;;;
ALLERONA;SCATOLLA JURI;1-Individuale;VIA DELLA LIBERTA';46;3-resto del territorio;0.0;5.0;5.0;;;;;;;
ALLERONA;UNICOOP TIRRENO S.C.;6-cooperativa;VIALE GIOSUE' CARDUCCI;5;3-resto del territorio;150.0;53.0;203.0;;;;;;;
ALLERONA;VIRGILI GLORIA;1-Individuale;VIA DI ORVIETO;1;3-resto del territorio;0.0;144.0;144.0;;;;;;;
ALVIANO;BELLUMORE ANNAMARIA;1-Individuale;VIA 24 MAGGIO;13;2-resto del capoluogo;0.0;32.0;32.0;;;;;;;
ALVIANO;CECCACCIO FABRIZIO;1-Individuale;VOC. CARPINETO;1/C;3-resto del territorio;0.0;40.0;40.0;;;;;;;
ALVIANO;CONSORZIO AGRARIO INTERPROVINCIALE DI RIETI E TERNI;6-cooperativa;VIA CAMPO DELLA FIERA;90;3-resto del territorio;0.0;50.0;50.0;;;;;;;
ALVIANO;CONTI MAURIZIO;1-Individuale;VIA 24 MAGGIO;7;2-resto del capoluogo;0.0;30.0;30.0;;;;;;;
ALVIANO;F.B.SRL DI BUCELLA BARBARA;4-s.r.l.;VIA CASE SPARSE;5;2-resto del capoluogo;0.0;20.0;20.0;1.0;;;;;;
ALVIANO;FARMACIA DEL CASTELLO DR.SSA D'ELIA ADARITA & C SAS;3-s.a.s.;VIA SALVO D'ACQUISTO;15;2-resto del capoluogo;0.0;40.0;40.0;;;;;;;
ALVIANO;FOSCOLI ELENA;1-Individuale;VOC. CARPINETO;1;3-resto del territorio;55.0;135.0;190.0;;;;;;;
ALVIANO;GIULIVI SERGIO;1-Individuale;VIA 24 MAGGIO;30;2-resto del capoluogo;0.0;40.0;40.0;;;;;;;
ALVIANO;I FIORI DI MIRO' DI SERRANTI ROMINA;1-Individuale;VIA CAMPO DELLA FIERA;8;3-resto del territorio;0.0;32.0;32.0;;;;;;;
ALVIANO;ISIDORI STEFANIA;1-Individuale;VIALE SALVO D'ACQUISTO;6;2-resto del capoluogo;35.0;10.0;45.0;;;;;;;
ALVIANO;MACELLERIA DA STEFANO E NADIA SNC;2-s.n.c.;VIA CAMPO DELLA FIERA;48;3-resto del territorio;40.0;0.0;40.0;;;;;;;
ALVIANO;MASSIMI MASSIMO SNC;2-s.n.c.;VOC. GIARDINELLO;30;3-resto del territorio;0.0;70.0;70.0;;;;;;;
ALVIANO;MASSIMI MASSIMO SNC;2-s.n.c.;VIA CAMPO DELLA FIERA;6;3-resto del territorio;40.0;10.0;50.0;1.0;;;;;;
ALVIANO;PANIFICIO PASTICCERIA AQUILI S.N.C.;2-s.n.c.;VIALE SALVO D'ACQUISTO;11;2-resto del capoluogo;5.0;0.0;5.0;;;;;;;
ALVIANO;PENSIERO STUPENDO DI BELLINI MARCO;1-Individuale;VIALE SALVO D'ACQUISTO;37;2-resto del capoluogo;0.0;47.0;47.0;1.0;;;;;;
ALVIANO;RICCI LOLITA;1-Individuale;VIA CAMPO DELLA FIERA;55;3-resto del territorio;0.0;25.0;25.0;;;;;;;
ALVIANO;S.VALENTINO SRL;4-s.r.l.;VIA DEGLI ARTIGIANI;5;3-resto del territorio;0.0;150.0;150.0;;;;;;;
ALVIANO;TALAMONI SNC;2-s.n.c.;VIA CAMPO DELLA FIERA;52;3-resto del territorio;29.0;5.0;34.0;;;;;;;
ALVIANO;VALLI NICOLA TORQUATO;1-Individuale;VIALE SALVO D'ACQUISTO;5;2-resto del capoluogo;0.0;87.0;87.0;;;;;;;
AMELIA;23 SETTEMBRE DI NANNI FRANCO S.R.L.;4-s.r.l.;VIA DELLA REPUBBLICA;33.0;1-centro storico;0.0;20.0;20.0;;;;;;;
AMELIA;AFA   MASCHERUCCI  ALBERTO S.R.L.;4-s.r.l.;VIA  NOCICCHIA;32/C;2-resto del capoluogo;0.0;214.0;214.0;;;;;;;
AMELIA;AGRI AMELIA DI MILELLI UGO & C. S.N.C.;2-s.n.c.;VIA DELLA PINETA;1.0;2-resto del capoluogo;0.0;98.0;98.0;;;;;;;
AMELIA;AGRISERVICE S.R.L.;4-s.r.l.;STR. AMERINA;55/A;2-resto del capoluogo;0.0;90.0;90.0;;;;;;;
AMELIA;AGRISERVIZI  S.R.L.;4-s.r.l.;STR. AMERINA;55/R;2-resto del capoluogo;0.0;70.0;70.0;;;;;;;
AMELIA;ALCINI   BENEDETTA;1-Individuale;VIA RIMEMBRANZE;33.0;2-resto del capoluogo;0.0;59.0;59.0;;;;;;;
AMELIA;ALIMENTARI 2P  POMI  ROSA  S.N.C.;2-s.n.c.;VIA GARIBALDI;83.0;1-centro storico;63.0;0.0;63.0;;;;;;;
AMELIA;AMELIA CARNI S.R.L.;4-s.r.l.;VIA RIMEMBRANZE;21.0;2-resto del capoluogo;65.0;0.0;65.0;;;;;;;
AMELIA;AMELIA CARNI S.R.L.;4-s.r.l.;VIA RIMEMBRANZE;19.0;2-resto del capoluogo;98.0;0.0;98.0;;;;;;;
AMELIA;AMERINA CALZATURE DI PASTURA S.N.C.;2-s.n.c.;VIA RIMEMBRANZE;39.0;2-resto del capoluogo;0.0;48.0;48.0;;;;;;;
AMELIA;ANTONELLI  MATTEO S.R.L.;4-s.r.l.;VIA RIMEMBRANZE;22.0;2-resto del capoluogo;0.0;48.0;48.0;;;;;;;
AMELIA;ARTPHOTO EVALUNA DI E.ANTONICA &C S.N.C.;2-s.n.c.;VIA FARRATTINI;11.0;1-centro storico;0.0;11.0;11.0;;;;;;;
AMELIA;ASSUNTINA DI MARCUCCI AMLETO S.N.C.;2-s.n.c.;VIA DELLA REPUBBLICA;53.0;1-centro storico;0.0;418.0;418.0;02-Abbigliamento;;;;;;
AMELIA;AUTOOF.LORENZONI  LORENZONI NICOLA S.N.C.;2-s.n.c.;VIA RIVETTA;SNC;2-resto del capoluogo;0.0;4.0;4.0;;;;;;;
AMELIA;BAR LEONARDI DI CIFOLETTI GIANNI & C.S.A.S.;3-s.a.s.;PIAZZA XXI SETTEMBRE;13.0;2-resto del capoluogo;10.0;5.0;15.0;;;;;;;
AMELIA;BARTOLUCCI & C. S.N.C.;2-s.n.c.;VIA I MAGGIO;1.0;2-resto del capoluogo;3.0;47.0;50.0;;;;;;;
AMELIA;BASSETTI ELEONORA;1-Individuale;VIA I MAGGIO;39.0;2-resto del capoluogo;0.0;45.0;45.0;;;;;;;
AMELIA;BATTISTI  ALESSANDRA;1-Individuale;VIA RIMEMBRANZE;43.0;2-resto del capoluogo;0.0;95.0;95.0;;;;;;;
AMELIA;BIAGETTI IVO DI BIAGETTI CRISTIANO S.N.C.;2-s.n.c.;VIA DELLA REPUBBLICA;74.0;1-centro storico;45.0;0.0;45.0;;;;;;;
AMELIA;BONELLI E GRISCI S.N.C.;2-s.n.c.;VIA RIMEMBRANZE;33.0;2-resto del capoluogo;0.0;108.0;108.0;;;;;;;
AMELIA;BOOK & C.INTERNATIONAL LIBRARY CENTER S.R.L.;4-s.r.l.;VIA I MAGGIO;17.0;2-resto del capoluogo;0.0;75.0;75.0;;;;;;;
AMELIA;BRAGAZZI  MASSIMO S.P.A.;5-s.p.a.;VIA BOCCARINI;SNC;1-centro storico;0.0;20.0;20.0;;;;;;;
AMELIA;BRIGANDI' ELISA;1-Individuale;VIA RIMEMBRANZE;97.0;2-resto del capoluogo;0.0;24.0;24.0;;;;;;;
AMELIA;BUTIRONI MARCELLO;1-Individuale;VIA I MAGGIO;42.0;2-resto del capoluogo;40.0;0.0;40.0;;;;;;;
AMELIA;C.R.A  CENTRO RICAMBI AMELIA S.R.L.;4-s.r.l.;VIA ORTANA;15A;2-resto del capoluogo;0.0;167.0;167.0;;;;;;;
AMELIA;C.S AUTO DI CAPPELLETTI FEDERICO & C S.N.C.;2-s.n.c.;VIA NOCICCHIA;38/A;2-resto del capoluogo;0.0;186.0;186.0;;;;;;;
AMELIA;C.S.AUTO DI CAPPELLETTI F. & C. SNC;2-s.n.c.;STR.TURRIDA (TORRICELLA);SNC;2-resto del capoluogo;0.0;240.0;240.0;;;;;;;
AMELIA;CALICCIA SIMONETTA S.N.C.;2-s.n.c.;STR. AMERINA;SNC;3-resto del territorio;0.0;50.0;50.0;;;;;;;
AMELIA;CANNETTO S.R.L.( RAFFAELE);4-s.r.l.;STR. AMERINA;55/B;2-resto del capoluogo;0.0;123.0;123.0;;;;;;;
AMELIA;CAPULIFERE GIANCARLO;1-Individuale;VIA ROMA;12.0;2-resto del capoluogo;0.0;10.0;10.0;;;;;;;
AMELIA;CARCASCIO CLAUDIO;1-Individuale;VIA DELLA REPUBBLICA;133.0;1-centro storico;43.0;0.0;43.0;;;;;;;
AMELIA;CARIPOTI AUTO E MOTO S.A.S.;3-s.a.s.;VIA NOCICCHIA;SNC;2-resto del capoluogo;0.0;207.0;207.0;;;;;;;
AMELIA;CARLOPPI GIUSEPPE;1-Individuale;VIA ORTANA;54.0;2-resto del capoluogo;0.0;54.0;54.0;;;;;;;
AMELIA;CARLOPPI MARIA LAURA;1-Individuale;VIA NOCICCHIA;04-giu;2-resto del capoluogo;28.0;0.0;28.0;;;;;;;
AMELIA;CASCELLI VERA;1-Individuale;VIA DELLA REPUBBLICA;61/65;1-centro storico;20.0;45.0;65.0;;;;;;;
AMELIA;CASTELLANI SIMONA;1-Individuale;VIA CADUTI SUL LAVORO;24.0;2-resto del capoluogo;0.0;45.0;45.0;;;;;;;
AMELIA;CATANA SERGIO;1-Individuale;STR. RIVETTA;2/B;2-resto del capoluogo;0.0;5.0;5.0;;;;;;;
AMELIA;CECCARELLI ROBERTA;1-Individuale;VIA I MAGGIO;224.0;2-resto del capoluogo;0.0;18.0;18.0;;;;;;;
